Mewati<mewa1249> 73.68 24.57
Hindi<hind1269> 77.00 25.00
Middle_Persian<pahl1241> 89 42
Sinhala<sinh1246> 81.00 8.00
Sorani_Kurdish<cent1972> 45.81 35.65
Zazaki<diml1238> 39.64 38.61
Shina<shin1264> 75.29 34.65
Bhojpuri<bhoj1244> 84.82 26.46
Dari<dari1249> 67.36 31.04
Bagri<bagr1243> 71.45 28.60
Parthian<part1239> 89 40
Kalasha<kala1372> 71.67 35.64
Sariqoli<sari1246> 75.14 37.91
Avestan<aves1237> 53.63 31.54
Konkani<konk1267> 73.92 19.24
Modern_Persian<midd1350> 51 35
Siraiki<sera1259> 71.91 29.55
Gujarati<guja1252> 71.10 22.69
Kalam_Kohistani<indu1241> 73.02 35.34
Dhivehi<dhiv1236> 73.54 1.93
Old_Persian<oldp1254> 54.00 32.00
Oriya<oriy1255> 85.00 21.00
Pashto<pash1269> 69 34
Ishkashimi<ishk1246> 71.55 36.67
Mazandarani<maza1291> 52.30 36.24
Kumzari<kumz1235> 56.42 26.16
Awadhi<awad1243> 82.47 27.59
Yaghnobi<yagn1238> 69.24 39.15
Bakhtiyari<bakh1245> 49.77 32.02
Sindhi<sind1272> 69.00 26.00
Luri<luri1256> 54.63 27.64
Dumaki<doma1260> 74.80 36.33
Old_East_Rajasthani<dhun1238> 76.20 26.47
Ormuri<ormu1247> 69.34 32.68
Pali<pali1273> 82.25 24.53
Panjabi<panj1256> 75.67 30.04
Sanskrit<sans1269> 77.00 20.00
Marathi<mara1378> 76.67 17.93
Domari<doma1258> 35.00 32.00
Marwari<marw1260> 75.07 27.00
Shughni<shug1248> 71.79 37.50
Bengali<beng1280> 90.00 24.00
Prakrit<maha1305> 80 22
Nepali<nepa1254> 85.00 28.00
Khwarezmian<khwa1238> 59 42
Khowar<khow1242> 72.00 36.00
Maithili<mait1250> 86.22 26.38
Assamese<assa1263> 91.29 26.09
Wakhi<wakh1245> 73.98 37.18
South_Tati<esht1238> 50.37 35.73
Taleshi<taly1247> 48.63 38.46
Palula<phal1254> 71.84 35.51
Gilaki<gila1241> 49.84 37.13
Judeo-Tati<jude1256> 48.26 42.07
Parachi<para1299> 70.88 36.04
Agia_Varvara_Romani<vlax1238> 14.85 46.82
Bactrian<bact1239> 68.7 35.95
Rakhshani_Baluchi<west2368> 62.17 37.83
Khotanese_Saka<khot1251> 80 37
Kashmiri<kash1277> 74.33 34.17
Sogdian<sogd1245> 70 41.2
Saurashtran<saur1248> 77.94 9.99
Torwali<torw1241> 72.53 35.31
Sangesari<sang1315> 53.30 35.72
Iron_Ossetic<osse1243> 43.27 41.79
