source,target,iteration
1,3,5897
1,3,5897
3,4,5897
4,2,5897
2,1,5897
1,3,5897
3,1,5897
1,4,5897
4,2,5897
2,1,5897
1,3,5897
3,1,5897
1,4,5897
4,2,5897
4,2,5897
4,2,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
4,2,5897
3,1,5897
1,4,5897
4,2,5897
2,1,5897
1,2,5897
1,3,5897
3,1,5897
1,3,5897
3,4,5897
4,2,5897
3,4,5897
4,2,5897
1,3,5897
3,1,5897
1,3,5897
3,4,5897
3,4,5897
4,3,5897
3,4,5897
4,3,5897
3,4,5897
3,4,5897
4,2,5897
2,1,5897
1,4,5897
4,2,5897
2,1,5897
1,4,5897
4,3,5897
3,4,5897
2,1,5897
1,3,5897
3,4,5897
1,4,5897
2,1,5897
1,4,5897
4,2,5897
2,1,5897
1,3,5897
3,4,5897
2,1,5897
1,3,5897
3,4,5897
1,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
4,3,5897
3,1,5897
1,3,5897
1,3,5897
3,4,5897
2,1,5897
1,3,5897
3,4,5897
4,3,5897
3,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
3,1,5897
1,3,5897
3,4,5897
3,4,5897
4,3,5897
3,4,5897
4,3,5897
3,4,5897
2,1,5897
1,4,5897
4,2,5897
2,1,5897
1,3,5897
3,1,5897
1,3,5897
3,1,5897
1,4,5897
3,1,5897
1,3,5897
3,4,5897
4,2,5897
2,1,5897
1,3,5897
3,1,5897
4,3,5897
4,3,5897
3,4,5897
4,2,5897
2,1,5897
1,3,5897
2,1,5897
1,4,5897
2,1,5897
1,3,5897
3,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
1,3,5897
3,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
3,1,5897
1,4,5897
4,3,5897
3,1,5897
1,3,5897
4,2,5897
2,1,5897
1,4,5897
4,2,5897
2,1,5897
1,3,5897
3,4,5897
1,4,5897
4,3,5897
4,3,5897
3,4,5897
4,2,5897
2,1,5897
1,3,5897
3,4,5897
2,1,5897
1,4,5897
4,2,5897
2,1,5897
2,1,5897
1,3,5897
3,4,5897
4,2,5897
4,3,5897
3,4,5897
4,3,5897
3,4,5897
4,2,5897
3,4,5897
4,3,5897
3,1,5897
1,4,5897
4,2,5897
4,3,5897
3,4,5897
3,1,5897
1,3,5897
3,4,5897
4,2,5897
4,3,5897
4,3,5897
3,4,5897
4,2,5897
4,2,5897
2,1,5897
1,3,5897
3,4,5897
2,1,5897
1,3,5897
3,1,5897
4,3,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
4,2,5897
2,1,5897
1,3,5897
3,4,5897
4,2,5897
4,2,5897
2,1,5897
1,4,5897
4,2,5897
4,3,5897
3,1,5897
