source,target,iteration
1,4,5897
4,3,5897
3,4,5897
4,3,5897
3,4,5897
4,2,5897
2,1,5897
1,4,5897
4,3,5897
3,1,5897
1,4,5897
4,2,5897
1,4,5897
1,3,5897
3,1,5897
1,3,5897
3,1,5897
1,3,5897
3,1,5897
1,4,5897
4,3,5897
3,4,5897
2,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
3,4,5897
4,2,5897
4,3,5897
3,4,5897
4,2,5897
2,1,5897
4,3,5897
3,1,5897
1,3,5897
3,1,5897
1,3,5897
3,1,5897
1,3,5897
3,4,5897
4,2,5897
2,1,5897
1,2,5897
1,3,5897
3,1,5897
1,3,5897
3,1,5897
1,4,5897
4,3,5897
3,4,5897
4,3,5897
3,1,5897
1,3,5897
3,4,5897
3,4,5897
4,2,5897
2,1,5897
1,4,5897
3,2,7197
3,2,7197
3,2,7197
3,2,7197
3,4,7197
4,2,7197
3,2,7197
3,2,7197
3,2,7197
2,1,7197
1,4,7197
4,2,7197
2,1,7197
1,4,7197
3,4,7197
3,4,7197
3,2,7197
2,4,7197
3,4,7197
3,4,7197
4,2,7197
2,1,7197
3,4,7197
3,2,7197
2,4,7197
3,4,7197
3,4,7197
4,3,7197
3,4,7197
3,4,7197
4,2,7197
2,4,7197
4,2,7197
2,4,7197
3,4,7197
3,2,7197
2,4,7197
3,4,7197
3,4,7197
3,2,7197
2,1,7197
3,2,7197
2,1,7197
1,2,7197
2,4,7197
4,3,7197
1,4,7197
3,2,7197
2,4,7197
3,2,7197
2,1,7197
1,4,7197
3,4,7197
3,4,7197
4,3,7197
3,2,7197
2,1,7197
1,4,7197
3,2,7197
2,4,7197
3,2,7197
3,2,7197
2,1,7197
1,4,7197
3,4,7197
4,2,7197
3,2,7197
3,2,7197
2,1,7197
1,4,7197
4,3,7197
3,4,7197
3,2,7197
2,1,7197
3,4,7197
4,3,7197
3,2,7197
3,4,7197
3,2,7197
2,1,7197
1,2,7197
2,1,7197
3,4,7197
4,3,7197
3,4,7197
3,4,7197
4,3,7197
4,3,7197
3,4,7197
3,4,7197
4,2,7197
2,1,7197
1,2,7197
3,4,7197
4,2,7197
3,2,7197
2,4,7197
3,2,7197
2,4,7197
4,3,7197
3,2,7197
3,4,7197
4,2,7197
4,2,7197
3,2,7197
2,1,7197
1,4,7197
3,4,7197
4,2,7197
2,4,7197
3,4,7197
4,2,7197
3,2,7197
2,1,7197
3,2,7197
3,4,7197
3,4,7197
3,2,7197
2,1,7197
1,4,7197
4,2,7197
2,1,7197
1,4,7197
3,4,3292
4,2,3292
3,1,3292
1,3,3292
3,1,3292
1,2,3292
3,1,3292
1,4,3292
4,2,3292
3,1,3292
1,2,3292
3,1,3292
1,2,3292
2,1,3292
1,2,3292
3,1,3292
1,2,3292
3,1,3292
1,4,3292
4,2,3292
2,4,3292
4,2,3292
3,1,3292
1,4,3292
4,3,3292
3,4,3292
3,1,3292
1,4,3292
3,4,3292
3,1,3292
1,4,3292
4,2,3292
2,4,3292
3,1,3292
1,4,3292
1,3,3292
3,1,3292
1,2,3292
2,4,3292
3,4,3292
3,1,3292
1,4,3292
4,2,3292
2,1,3292
1,4,3292
3,1,3292
1,4,3292
4,2,3292
2,4,3292
3,1,3292
1,2,3292
2,1,3292
3,1,3292
1,4,3292
4,3,3292
3,1,3292
1,4,3292
3,1,3292
1,2,3292
2,4,3292
3,1,3292
3,1,3292
1,4,3292
3,1,3292
1,4,3292
3,1,3292
1,4,3292
3,1,3292
1,3,3292
3,1,3292
1,4,3292
3,1,3292
1,2,3292
2,4,3292
3,1,3292
1,4,3292
4,2,3292
2,1,3292
1,2,3292
2,4,3292
3,1,3292
1,2,3292
2,1,3292
1,4,3292
3,1,3292
1,4,3292
3,1,3292
1,2,3292
2,1,3292
1,4,3292
4,3,3292
3,4,3292
3,1,3292
1,4,3292
4,3,3292
3,1,3292
3,1,3292
1,2,3292
3,1,3292
1,4,3292
3,1,3292
1,2,3292
3,4,3292
4,2,3292
3,1,3292
1,4,3292
4,2,3292
2,4,3292
3,1,3292
1,2,3292
2,4,3292
4,2,3292
3,1,3292
3,1,3292
1,4,3292
4,2,3292
2,4,3292
4,2,3292
3,1,3292
1,4,3292
4,3,3292
3,1,3292
1,2,3292
2,4,3292
4,2,3292
3,1,3292
1,4,3292
3,1,3292
1,2,3292
2,4,3292
3,1,3292
1,2,3292
2,1,3292
3,4,3292
3,1,3292
1,4,3292
4,2,3292
3,1,3292
1,2,3292
4,3,3292
3,1,3292
1,4,3292
4,2,3292
3,4,3292
3,1,3292
1,4,3292
3,1,3292
1,2,3292
3,1,3292
1,4,3292
3,4,3292
3,1,3292
1,4,3292
4,2,3292
2,1,3292
1,2,3292
3,1,3292
1,4,3292
3,1,4159
1,2,4159
2,1,4159
1,4,4159
4,2,4159
2,4,4159
3,1,4159
1,4,4159
4,2,4159
2,3,4159
3,4,4159
3,4,4159
3,1,4159
3,1,4159
1,3,4159
3,1,4159
1,2,4159
3,1,4159
1,4,4159
3,1,4159
1,4,4159
4,2,4159
1,2,4159
2,3,4159
3,1,4159
1,2,4159
2,4,4159
4,2,4159
3,1,4159
1,4,4159
4,2,4159
2,4,4159
4,2,4159
3,1,4159
1,4,4159
4,2,4159
2,3,4159
3,1,4159
1,4,4159
3,1,4159
3,1,4159
1,4,4159
4,2,4159
2,1,4159
1,4,4159
4,2,4159
2,1,4159
1,4,4159
4,3,4159
3,4,4159
4,2,4159
3,1,4159
1,4,4159
3,1,4159
1,4,4159
4,2,4159
2,1,4159
1,4,4159
3,1,4159
1,4,4159
4,2,4159
2,1,4159
3,4,4159
3,1,4159
1,4,4159
4,2,4159
3,1,4159
1,2,4159
3,1,4159
1,4,4159
4,2,4159
3,1,4159
1,4,4159
4,2,4159
2,4,4159
3,1,4159
1,4,4159
4,2,4159
2,4,4159
3,1,4159
1,4,4159
4,2,4159
2,3,4159
3,1,4159
1,2,4159
3,4,4159
3,1,4159
1,4,4159
4,2,4159
3,1,4159
1,4,4159
3,4,4159
4,2,4159
2,3,4159
3,1,4159
1,4,4159
4,2,4159
3,4,4159
4,2,4159
3,4,4159
4,2,4159
3,1,4159
1,4,4159
4,2,4159
3,4,4159
4,2,4159
3,1,4159
1,2,4159
3,1,4159
1,2,4159
3,4,4159
4,2,4159
2,4,4159
3,1,4159
1,4,4159
3,1,4159
1,4,4159
3,4,4159
3,1,4159
1,2,4159
2,4,4159
4,2,4159
2,4,4159
2,4,4159
4,2,4159
2,4,4159
3,1,4159
1,4,4159
3,4,4159
4,3,4159
3,4,4159
3,1,4159
1,3,4159
3,1,4159
1,2,4159
2,1,4159
4,3,4159
3,1,4159
1,4,4159
2,3,4159
3,1,4159
1,4,4159
3,1,4159
1,4,4159
4,2,4159
2,1,4159
3,1,4159
1,4,4159
3,1,4159
1,4,4159
3,1,4159
1,3,4159
3,1,4159
1,4,4159
3,4,4159
4,2,4159
2,3,4159
3,1,4159
1,4,4159
3,1,4159
1,4,4159
4,2,4159
2,1,4159
1,4,4159
3,1,4159
1,4,4159
4,2,4159
2,4,4159
4,2,4159
2,4,4159
3,1,4159
1,4,4159
3,1,4159
1,4,4159
4,2,4159
2,4,4159
3,1,4159
1,4,4159
4,2,4159
2,3,4159
3,1,4159
1,4,4159
1,3,2344
3,1,2344
1,2,2344
3,4,2344
4,2,2344
3,4,2344
4,2,2344
3,4,2344
4,2,2344
3,1,2344
1,2,2344
3,4,2344
4,1,2344
1,2,2344
3,4,2344
4,2,2344
3,1,2344
1,4,2344
3,4,2344
3,1,2344
1,4,2344
3,4,2344
3,4,2344
3,4,2344
3,4,2344
3,4,2344
3,1,2344
3,4,2344
4,1,2344
1,4,2344
3,4,2344
4,1,2344
1,4,2344
3,4,2344
3,4,2344
3,1,2344
1,4,2344
3,4,2344
4,1,2344
1,4,2344
3,1,2344
3,4,2344
3,4,2344
3,4,2344
4,1,2344
1,4,2344
3,4,2344
3,4,2344
1,3,2344
3,4,2344
3,4,2344
4,1,2344
1,4,2344
3,4,2344
4,1,2344
1,2,2344
3,1,2344
1,2,2344
3,4,2344
3,4,2344
3,4,2344
4,1,2344
3,4,2344
4,2,2344
3,4,2344
3,4,2344
4,2,2344
2,1,2344
1,4,2344
3,4,2344
4,1,2344
3,4,2344
3,4,2344
4,1,2344
1,2,2344
3,1,2344
1,2,2344
3,1,2344
1,3,2344
3,1,2344
1,4,2344
3,1,2344
1,4,2344
4,1,2344
1,2,2344
2,1,2344
1,2,2344
3,4,2344
4,2,2344
3,1,2344
1,4,2344
3,1,2344
1,4,2344
4,2,2344
3,1,2344
1,4,2344
4,1,2344
1,4,2344
3,1,2344
1,2,2344
3,4,2344
3,4,2344
4,2,2344
3,1,2344
1,2,2344
3,4,2344
3,1,2344
4,3,1682
3,4,1682
4,3,1682
3,2,1682
2,4,1682
4,2,1682
2,1,1682
1,2,1682
2,1,1682
1,2,1682
4,2,1682
2,4,1682
4,3,1682
3,2,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
4,3,1682
3,4,1682
4,2,1682
2,4,1682
4,2,1682
4,3,1682
3,1,1682
1,2,1682
2,1,1682
1,3,1682
3,4,1682
4,2,1682
4,3,1682
3,4,1682
4,2,1682
2,4,1682
4,3,1682
3,4,1682
4,3,1682
3,1,1682
1,4,1682
4,3,1682
3,4,1682
1,4,1682
4,3,1682
3,4,1682
3,4,1682
4,2,1682
2,1,1682
1,2,1682
2,4,1682
4,3,1682
3,4,1682
3,1,1682
1,3,1682
3,4,1682
4,2,1682
2,1,1682
1,3,1682
3,4,1682
3,4,1682
4,3,1682
4,3,1682
3,1,1682
1,3,1682
3,4,1682
4,3,1682
3,1,1682
1,3,1682
3,4,1682
4,2,1682
2,1,1682
1,3,1682
3,4,1682
4,2,1682
2,4,1682
4,2,1682
2,1,1682
1,2,1682
2,4,1682
3,1,1682
1,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
2,4,1682
3,2,1682
2,4,1682
4,3,1682
3,4,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
4,2,1682
2,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,1,1682
1,2,1682
2,4,1682
4,3,1682
3,4,1682
4,2,1682
2,1,1682
1,3,1682
3,4,1682
2,1,1682
1,2,1682
2,1,1682
1,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,1,1682
3,4,1682
4,3,1682
4,3,1682
3,2,1682
2,4,1682
4,2,1682
2,4,1682
4,3,1682
3,4,1682
4,3,1682
4,2,1682
2,4,1682
2,4,1682
3,1,1682
1,3,1682
3,4,1682
4,2,1682
2,4,1682
4,2,1682
2,1,1682
1,3,1682
3,4,1682
4,2,1682
2,1,1682
1,4,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
4,2,1682
2,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
4,3,1682
3,1,1682
1,3,1682
3,4,1682
4,3,1682
3,1,1682
1,3,1682
3,4,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
2,4,1682
1,2,1682
2,1,1682
1,2,1682
2,1,1682
1,3,1682
3,1,1682
1,2,1682
2,1,1682
1,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
2,4,1682
4,3,1682
3,4,1682
4,2,1682
2,1,1682
1,4,1682
4,3,1682
3,4,1682
4,2,1682
2,1,1682
1,3,1682
3,1,1682
1,3,1682
3,1,1682
1,3,1682
3,1,1682
1,2,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
1,3,1682
3,4,1682
4,3,1682
4,2,1682
4,2,1682
2,4,1682
4,3,1682
3,1,1682
1,2,1682
4,3,1682
3,4,1682
4,2,1682
2,1,1682
1,2,1682
2,4,1682
4,2,1682
2,4,1682
1,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,1,1682
1,2,1682
2,4,1682
4,2,1682
2,1,1682
2,1,1682
1,3,1682
3,4,1682
4,3,1682
3,4,1682
3,4,1682
4,2,1682
4,2,1682
4,3,1682
3,4,1682
4,3,1682
3,2,1682
2,4,1682
4,3,1682
3,1,1682
1,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
2,1,1682
1,2,1682
4,3,1682
3,4,1682
4,3,1682
3,1,1682
1,3,1682
3,4,1682
4,2,1682
3,4,1682
4,2,1682
2,4,1682
4,2,1682
2,1,1682
1,2,1682
2,1,1682
4,2,1682
2,1,1682
1,3,1682
3,1,1682
1,3,1682
4,3,1682
3,4,1682
3,4,1682
4,3,1682
3,4,1682
4,3,1682
3,4,1682
4,2,1682
2,4,1682
4,2,1682
2,1,1682
4,3,1682
3,4,1682
4,2,1682
2,4,1682
3,4,7218
4,2,7218
2,1,7218
1,2,7218
3,4,7218
4,2,7218
3,4,7218
4,2,7218
3,1,7218
1,2,7218
3,4,7218
4,2,7218
3,1,7218
1,2,7218
3,4,7218
4,2,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
4,2,7218
2,4,7218
3,1,7218
1,2,7218
2,1,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,1,7218
1,2,7218
2,4,7218
4,2,7218
2,1,7218
1,2,7218
2,1,7218
3,1,7218
1,2,7218
2,4,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
4,3,7218
3,4,7218
3,4,7218
3,1,7218
1,2,7218
3,1,7218
3,4,7218
4,3,7218
3,1,7218
1,2,7218
3,4,7218
3,4,7218
4,3,7218
3,1,7218
1,2,7218
2,1,7218
1,2,7218
3,4,7218
3,4,7218
3,1,7218
1,2,7218
2,1,7218
3,4,7218
3,4,7218
4,2,7218
3,1,7218
1,2,7218
3,1,7218
1,2,7218
3,4,7218
3,4,7218
3,4,7218
3,4,7218
3,1,7218
1,2,7218
2,1,7218
1,2,7218
2,4,7218
4,2,7218
3,1,7218
1,2,7218
3,1,7218
1,2,7218
3,4,7218
3,4,7218
4,2,7218
3,4,7218
4,2,7218
3,4,7218
3,1,7218
1,2,7218
2,1,7218
1,2,7218
2,1,7218
3,1,7218
1,2,7218
2,4,7218
4,3,7218
3,1,5706
1,3,5706
3,4,5706
4,2,5706
3,4,5706
4,2,5706
3,4,5706
4,2,5706
3,4,5706
4,2,5706
3,1,5706
1,2,5706
1,2,5706
3,4,5706
4,3,5706
3,4,5706
3,4,5706
3,4,5706
3,4,5706
3,1,5706
1,3,5706
3,4,5706
3,1,5706
1,3,5706
3,4,5706
3,1,5706
1,3,5706
3,4,5706
3,4,5706
1,3,5706
3,4,5706
3,4,5706
3,4,5706
3,4,5706
3,4,5706
3,4,5706
3,4,5706
4,2,5706
2,1,5706
3,1,5706
1,3,5706
3,4,5706
1,3,5706
3,4,5706
3,4,5706
3,1,5706
1,3,5706
3,4,5706
3,4,5706
3,1,5706
1,3,5706
3,1,5706
1,3,5706
3,4,5706
1,3,5706
3,4,5706
4,2,5706
2,1,5706
1,3,5706
3,4,5706
4,2,5706
3,4,5706
4,3,5706
3,4,5706
3,1,5706
1,3,5706
3,1,5706
1,2,5706
3,1,5706
1,3,5706
3,4,5706
4,2,5706
3,4,5706
4,2,5706
2,1,5706
1,3,5706
3,4,5706
4,2,5706
2,1,5706
1,3,5706
3,4,5706
1,3,5706
3,4,5706
4,2,5706
3,4,5706
4,2,5706
3,1,5706
1,3,5706
3,4,5706
1,2,5706
2,1,5706
1,3,5706
3,4,5706
1,3,5706
3,4,5706
3,4,5706
4,2,5706
3,1,5706
1,3,5706
3,4,5706
1,3,5706
3,1,5706
1,3,5706
3,4,5706
1,3,5706
3,4,5706
3,4,5706
3,4,5706
4,3,5706
3,1,5706
1,3,5706
3,1,5706
1,2,5706
3,4,5706
3,1,5706
1,2,5706
2,1,5706
1,2,5706
1,3,5706
3,4,5706
4,2,5706
1,3,5706
3,4,5706
1,2,5706
2,1,5706
3,4,5706
4,2,5706
2,1,5706
1,2,5706
3,1,5706
1,2,5706
3,4,5706
4,2,5706
2,1,5706
2,3,1758
2,3,1758
3,2,1758
2,3,1758
3,2,1758
2,3,1758
3,1,1758
1,2,1758
2,1,1758
1,2,1758
3,1,1758
1,2,1758
2,1,1758
1,2,1758
2,1,1758
1,2,1758
3,2,1758
2,3,1758
3,2,1758
3,2,1758
2,3,1758
3,2,1758
3,1,1758
1,2,1758
2,3,1758
3,2,1758
2,3,1758
3,1,1758
1,4,1758
3,1,1758
1,4,1758
3,2,1758
2,3,1758
3,1,1758
1,2,1758
2,4,1758
2,3,1758
3,1,1758
1,4,1758
2,4,1758
4,2,1758
2,3,1758
3,1,1758
1,4,1758
3,1,1758
1,4,1758
4,1,1758
2,3,1758
4,2,1758
2,4,1758
4,1,1758
1,4,1758
3,2,1758
2,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
1,4,1758
2,1,1758
1,4,1758
4,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
2,1,1758
1,4,1758
4,1,1758
1,4,1758
4,2,1758
2,1,1758
1,4,1758
4,2,1758
2,1,1758
1,4,1758
3,2,1758
2,4,1758
2,1,1758
1,2,1758
2,4,1758
4,2,1758
2,1,1758
1,4,1758
3,1,1758
1,3,1758
3,2,1758
2,3,1758
3,2,1758
2,4,1758
4,3,1758
3,1,1758
1,4,1758
4,1,1758
1,4,1758
4,1,1758
2,3,1758
3,4,1758
4,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
4,1,1758
1,4,1758
4,1,1758
1,4,1758
3,1,1758
1,4,1758
4,2,1758
2,3,1758
3,1,1758
1,4,1758
2,4,1758
3,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
2,3,1758
3,1,1758
1,3,1758
3,2,1758
2,3,1758
3,1,1758
1,2,1758
2,1,1758
1,4,1758
4,1,1758
1,4,1758
4,2,1758
2,3,1758
3,4,1758
3,1,1758
1,2,1758
2,3,1758
3,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
4,2,1758
1,4,1758
4,2,1758
2,1,1758
1,4,1758
3,2,1758
3,1,1758
1,4,1758
4,1,1758
1,2,1758
3,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
1,2,1758
2,3,1758
3,1,1758
2,3,1758
3,1,1758
1,2,1758
2,4,1758
4,2,1758
3,4,1758
3,1,1758
1,4,1758
4,2,1758
2,1,1758
2,3,1758
3,1,1758
1,4,1758
4,1,1758
1,4,1758
3,1,1758
1,4,1758
3,1,1758
1,4,1758
4,2,1758
2,3,1758
3,1,1758
1,2,1758
3,1,1758
1,4,1758
4,1,1758
1,2,1758
2,4,1758
3,1,1758
1,3,1758
3,1,1758
3,1,1758
1,4,1758
3,2,1758
2,4,1758
2,3,1758
3,2,1758
3,1,1758
1,2,1758
3,2,1758
2,3,1758
3,1,1758
1,2,1758
2,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
4,1,1758
1,2,1758
2,3,1758
3,1,1758
1,2,1758
2,3,1758
3,1,1758
1,4,1758
3,1,1758
1,2,1758
2,3,1758
3,2,1758
2,4,1758
3,1,1758
1,2,1758
2,3,1758
3,1,1758
1,2,1758
3,2,1758
2,1,1758
1,4,1758
4,2,1758
2,1,1758
1,2,1758
2,4,1758
4,2,1758
2,3,1758
3,1,1758
1,4,1758
3,1,6883
1,4,6883
4,3,6883
4,2,6883
2,3,6883
3,4,6883
4,3,6883
3,4,6883
4,2,6883
2,4,6883
4,2,6883
2,4,6883
4,3,6883
3,4,6883
4,2,6883
2,4,6883
4,1,6883
1,4,6883
4,2,6883
4,1,6883
1,4,6883
4,2,6883
4,2,6883
4,2,6883
4,2,6883
4,1,6883
1,4,6883
4,3,6883
3,4,6883
4,3,6883
3,4,6883
4,2,6883
4,2,6883
2,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,2,6883
3,4,6883
4,1,6883
1,4,6883
4,3,6883
3,4,6883
4,2,6883
2,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
3,1,6883
1,3,6883
3,4,6883
4,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,2,6883
2,4,6883
3,4,6883
4,2,6883
2,1,6883
3,4,6883
4,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,2,6883
2,4,6883
4,3,6883
3,4,6883
4,2,6883
2,4,6883
4,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,3,6883
3,4,6883
2,4,6883
4,3,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,1,6883
1,4,6883
4,1,6883
1,3,6883
3,4,6883
2,1,6883
1,4,6883
4,1,6883
1,4,6883
4,2,6883
2,3,6883
3,4,6883
4,3,6883
3,4,6883
3,1,6883
1,3,6883
3,1,6883
1,4,6883
4,1,6883
4,3,6883
3,4,6883
4,1,6883
1,3,6883
3,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,3,6883
3,4,6883
3,4,6883
4,2,6883
2,3,6883
3,4,6883
4,3,6883
3,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,3,6883
4,2,6883
2,4,6883
4,1,6883
1,3,6883
3,1,6883
1,3,6883
3,4,6883
3,4,6883
4,2,6883
2,1,6883
1,4,6883
4,1,6883
1,4,6883
2,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,2,6883
2,4,6883
4,2,6883
2,4,6883
4,3,6883
3,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
3,4,6883
4,2,6883
2,4,6883
4,3,6883
4,2,6883
2,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,1,6883
1,4,6883
2,4,6883
4,2,6883
2,1,6883
1,4,6883
4,1,6883
1,3,6883
3,1,6883
1,4,6883
4,2,6883
4,1,6883
1,4,6883
4,3,6883
3,1,6883
1,3,6883
3,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,2,6883
4,2,6883
2,1,6883
1,4,6883
4,1,6883
1,4,6883
1,4,6883
1,4,6883
4,3,6883
3,4,6883
4,1,6883
1,4,6883
4,1,6883
2,4,6883
4,3,6883
4,1,6883
1,4,6883
4,3,6883
3,4,6883
3,4,6883
4,2,6883
3,4,6883
4,1,6883
1,4,6883
4,2,6883
4,2,6883
2,1,6883
1,4,6883
4,1,6883
1,4,6883
4,2,6883
4,1,6883
1,4,6883
4,2,6883
2,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,2,6883
2,4,6883
1,3,6883
3,1,6883
1,4,6883
4,3,6883
3,4,6883
4,2,6883
2,4,6883
3,1,6883
1,3,6883
3,4,6883
4,1,6883
1,3,6883
3,1,6883
1,4,6883
4,2,6883
2,1,6883
1,3,6883
3,1,6883
1,4,6883
4,1,6883
1,4,6883
4,1,6883
3,4,6883
4,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,3,6883
3,4,6883
4,1,6883
1,4,6883
4,2,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,2,6883
2,4,6883
4,1,6883
1,3,6883
3,4,6883
4,3,6883
3,1,6883
1,4,6883
4,2,6883
3,4,6883
4,1,6883
1,4,6883
4,3,6883
4,2,6883
2,1,6883
1,4,6883
4,1,6883
1,3,6883
3,4,6883
4,2,6883
3,4,6883
4,1,6883
1,3,6883
3,4,6883
4,2,6883
2,3,6883
4,3,6883
3,4,6883
3,1,6883
1,4,6883
4,3,6883
3,1,6883
3,1,6883
1,4,6883
4,3,6883
3,1,6883
1,4,6883
4,2,6883
2,4,6883
4,2,6883
3,4,6883
3,4,6883
4,1,6883
1,4,6883
4,1,6883
1,4,6883
4,2,6883
3,4,7616
4,2,7616
2,1,7616
1,3,7616
2,1,7616
1,3,7616
3,1,7616
1,3,7616
3,4,7616
4,2,7616
3,1,7616
1,3,7616
3,4,7616
4,2,7616
3,4,7616
4,3,7616
3,4,7616
4,2,7616
3,4,7616
4,2,7616
2,4,7616
4,2,7616
3,4,7616
