#language	earliest attestation (yrs BP)	latest attestation
sans1269	3400	3000
pali1273	2300	2000
maha1305	2300	2000
panj1256	250	0
sera1259	250	0
sind1272	250	0
assa1263	250	0
beng1280	250	0
oriy1255	250	0
nepa1254	250	0
mait1250	250	0
awad1243	250	0
bhoj1244	250	0
hind1269	250	0
doma1260	250	0
vlax1238	250	0
doma1258	250	0
marw1260	250	0
dhun1238	400	200
mewa1249	250	0
bagr1243	250	0
guja1252	250	0
saur1248	250	0
mara1378	250	0
konk1267	250	0
dhiv1236	250	0
sinh1246	250	0
khow1242	250	0
kala1372	250	0
torw1241	250	0
indu1241	250	0
phal1254	250	0
shin1264	250	0
kash1277	250	0
aves1237	2800	2600
wakh1245	250	0
khot1251	1300	1100
osse1243	250	0
sari1246	250	0
shug1248	250	0
ishk1246	250	0
ormu1247	250	0
para1299	250	0
pash1269	250	0
khwa1238	1000	800
sogd1245	1200	1000
yagn1238	250	0
bact1239	1200	1000
west2368	250	0
cent1972	250	0
diml1238	250	0
part1239	2000	1800
midd1350	250	0
dari1249	250	0
pahl1241	1800	1400
oldp1254	2500	2300
kumz1235	250	0
jude1256	250	0
luri1257	250	0
bakh1245	250	0
maza1291	250	0
gila1241	250	0
sang1315	250	0
esht1238	250	0
taly1247	250	0
